latitude,longitude,State
63.588753,-154.493062,Alaska
32.318231,-86.902298,Alabama
35.20105,-91.831833,Arkansas
34.048928,-111.093731,Arizona
36.778261,-119.417932,California
39.550051,-105.782067,Colorado
41.603221,-73.087749,Connecticut
38.905985,-77.033418,District of Columbia
38.910832,-75.52767,Delaware
27.664827,-81.515754,Florida
32.157435,-82.907123,Georgia
19.898682,-155.665857,Hawaii
41.878003,-93.097702,Iowa
44.068202,-114.742041,Idaho
40.633125,-89.398528,Illinois
40.551217,-85.602364,Indiana
39.011902,-98.484246,Kansas
37.839333,-84.270018,Kentucky
31.244823,-92.145024,Louisiana
42.407211,-71.382437,Massachusetts
39.045755,-76.641271,Maryland
45.253783,-69.445469,Maine
44.314844,-85.602364,Michigan
46.729553,-94.6859,Minnesota
37.964253,-91.831833,Missouri
32.354668,-89.398528,Mississippi
46.879682,-110.362566,Montana
35.759573,-79.0193,North Carolina
47.551493,-101.002012,North Dakota
41.492537,-99.901813,Nebraska
43.193852,-71.572395,New Hampshire
40.058324,-74.405661,New Jersey
34.97273,-105.032363,New Mexico
38.80261,-116.419389,Nevada
43.299428,-74.217933,New York
40.417287,-82.907123,Ohio
35.007752,-97.092877,Oklahoma
43.804133,-120.554201,Oregon
41.203322,-77.194525,Pennsylvania
18.220833,-66.590149,Puerto Rico
41.580095,-71.477429,Rhode Island
33.836081,-81.163725,South Carolina
43.969515,-99.901813,South Dakota
35.517491,-86.580447,Tennessee
31.968599,-99.901813,Texas
39.32098,-111.093731,Utah
37.431573,-78.656894,Virginia
44.558803,-72.577841,Vermont
47.751074,-120.740139,Washington
43.78444,-88.787868,Wisconsin
38.597626,-80.454903,West Virginia
43.075968,-107.290284,Wyoming