,,
Year,Date,Annual Vehicle-Distance Traveled (Billion Miles)
2018,Jan-18,"3,215"
2018,Feb-18,"3,217"
2018,Mar-18,"3,220"
2018,Apr-18,"3,222"
2018,May-18,"3,225"
2018,Jun-18,"3,228"
2018,Jul-18,"3,230"
2018,Aug-18,"3,232"
2018,Sep-18,"3,234"
2018,Oct-18,"3,236"
2018,Nov-18,"3,238"
2018,Dec-18,"3,240"
2019,Jan-19,"3,243"
2019,Feb-19,"3,242"
2019,Mar-19,"3,242"
2019,Apr-19,"3,248"
2019,May-19,"3,250"
2019,Jun-19,"3,248"
2019,Jul-19,"3,253"
2019,Aug-19,"3,255"
2019,Sep-19,"3,260"
2019,Oct-19,"3,263"
2019,Nov-19,"3,263"
2019,Dec-19,"3,267"
2020,Jan-20,"3,273"
2020,Feb-20,"3,278"
2020,Mar-20,"3,227"
2020,Apr-20,"3,114"
2020,May-20,"3,041"
2020,Jun-20,"3,004"
2020,Jul-20,"2,970"
2020,Aug-20,"2,934"
2020,Sep-20,"2,910"